 21 6882.273469 4.103E-27 2.513e-02.07370.101 2066.40990.70-.007836       1 1 1 32       1 1 1 02                    R 18f     3677642029 5 4 5 7    39.0   37.0
 21 6882.302647 1.191E-27 2.785e-02.06930.090 2440.69170.75-.008508       1 1 1 31       1 1 1 01                    R 30f     4377642030 5 4 5 7    63.0   61.0
 21 6882.347689 6.319E-30 2.604e-02.06500.068 3661.47710.69-.009593       1 1 1 32       1 1 1 02                    R 66f     3677642029 5 4 5 7   135.0  133.0
 21 6882.484408 9.082E-29 2.821e-02.06740.074 3073.97070.73-.008880       1 1 1 31       1 1 1 01                    R 50f     4377742030 5 4 5 7   103.0  101.0
 21 6882.589447 1.094E-27 2.777e-02.06910.089 2464.01860.76-.008525       1 1 1 31       1 1 1 01                    R 31e     3377642030 5 4 5 7    65.0   63.0
 21 6882.626311 7.668E-29 2.802e-02.06730.073 3111.33890.73-.008913       1 1 1 31       1 1 1 01                    R 51e     3377742030 5 4 5 7   105.0  103.0
 21 6882.656800 9.986E-28 2.790e-02.06900.088 2489.96950.76-.008541       1 1 1 31       1 1 1 01                    R 32f     4377642030 5 4 5 7    67.0   65.0
 21 6882.683350 4.022E-27 2.515e-02.07310.100 2080.93160.71-.007929       1 1 1 32       1 1 1 02                    R 19e     4677642029 5 4 5 7    41.0   39.0
 21 6882.802242 1.270E-28 2.818e-02.06760.075 2996.60400.74-.008830       1 1 1 31       1 1 1 01                    R 48f     4377642030 5 4 5 7    99.0   97.0
 21 6882.853630 8.553E-29 1.634e-04.06830.081 1977.09380.76-.008648       0 2 2 31       0 2 2 01                    Q 40e     4377642030 5 4 5 7    81.0   81.0
 21 6882.920799 8.113E-30 2.592e-02.06520.068 3606.02370.69-.009541       1 1 1 32       1 1 1 02                    R 65e     4677642029 5 4 5 7   133.0  131.0
 21 6882.923106 9.089E-28 2.781e-02.06890.087 2514.73730.76-.008555       1 1 1 31       1 1 1 01                    R 33e     3377642030 5 4 5 7    69.0   67.0
 21 6882.936306 8.215E-28 2.794e-02.06880.087 2542.37180.76-.008570       1 1 1 31       1 1 1 01                    R 34f     4377642030 5 4 5 7    71.0   69.0
 21 6882.952429 1.081E-28 2.801e-02.06750.074 3032.60550.74-.008855       1 1 1 31       1 1 1 01                    R 49e     3377742030 5 4 5 7   101.0   99.0
 21 6883.040714 9.009E-26 3.332e-02.07630.103 1441.65470.69-.007561       0 2 2 31       0 2 2 01                    P 16e     4677642030 5 4 5 7    31.0   33.0
 21 6883.044843 1.746E-28 2.815e-02.06780.076 2922.35420.75-.008776       1 1 1 31       1 1 1 01                    R 46f     4377642030 5 4 5 7    95.0   93.0
 21 6883.105523 3.913E-27 2.522e-02.07250.099 2096.95240.71-.008009       1 1 1 32       1 1 1 02                    R 20f     3677642029 5 4 5 7    43.0   41.0
 21 6883.141155 6.634E-28 2.798e-02.06860.085 2597.89790.76-.008599       1 1 1 31       1 1 1 01                    R 36f     4377642030 5 4 5 7    75.0   73.0
 21 6883.176271 1.007E-29 2.602e-02.06530.068 3559.20410.70-.009482       1 1 1 32       1 1 1 02                    R 64f     3677642029 5 4 5 7   131.0  129.0
